date,description,category,amount,type
2020-01-02,Coffee Shop,Food & Drink,28.88,Expense
2020-01-02,Phone Bill,Utilities,47.53,Expense
2020-01-04,Rent Paid,Rent,918.36,Expense
2020-01-05,Pet Supplies,Investment,108.5,Income
2020-01-13,McDonald's,Food & Drink,11.16,Expense
2020-01-14,Target,Shopping,205.84,Expense
2020-01-18,Thai Restaurant,Food & Drink,37.32,Expense
2020-01-19,Other,Other,25.58,Expense
2020-01-21,Streaming Subscription,Entertainment,40.42,Expense
2020-01-25,Rent Paid,Rent,918.36,Expense
2020-01-25,Office Supplies,Health & Fitness,99.27,Expense
2020-01-26,Salary Received,Salary,1082.96,Income
2020-01-29,Target,Shopping,224.12,Expense
2020-01-30,Pet Supplies,Health & Fitness,63.99,Expense
2020-01-31,Thai Restaurant,Food & Drink,13.57,Expense
2020-01-31,Rent Paid,Rent,918.36,Expense
2020-01-31,Online Retail Order,Shopping,208.7,Expense
2020-02-02,Office Supplies,Health & Fitness,29.58,Expense
2020-02-04,Train Ticket,Travel,450.05,Expense
2020-02-05,Rent Paid,Rent,918.36,Expense
2020-02-05,Pet Supplies,Investment,465.16,Income
2020-02-07,Hotel Stay,Travel,154.51,Expense
2020-02-07,Streaming Subscription,Entertainment,97.9,Expense
2020-02-08,Pizza Place,Food & Drink,23.14,Expense
2020-02-08,Other,Other,327.16,Income
2020-02-09,Concert Ticket,Entertainment,35.47,Expense
2020-02-11,Office Supplies,Health & Fitness,24.08,Expense
2020-02-13,Salary Received,Salary,1082.96,Income
2020-02-15,Other,Other,58.74,Expense
2020-02-16,Online Retail Order,Shopping,131.98,Expense
2020-02-16,Electric Bill,Utilities,121.58,Expense
2020-02-18,Pet Supplies,Investment,27.15,Income
2020-02-19,Pet Supplies,Investment,369.56,Income
2020-02-20,Target,Shopping,230.87,Expense
2020-02-26,Car Rental,Travel,382.81,Expense
2020-02-27,Pizza Place,Food & Drink,37.1,Expense
2020-02-28,Other,Other,47.61,Expense
2020-02-28,Other,Other,190.36,Income
2020-02-29,Uber Ride,Travel,521.52,Expense
2020-03-03,Rent Paid,Rent,918.36,Expense
2020-03-04,Streaming Subscription,Entertainment,34.0,Expense
2020-03-04,Local Burger Joint,Food & Drink,35.31,Expense
2020-03-09,Rent Paid,Rent,918.36,Expense
2020-03-09,Train Ticket,Travel,443.84,Expense
2020-03-11,Rent Paid,Rent,918.36,Expense
2020-03-11,Rent Paid,Rent,918.36,Expense
2020-03-12,Water Bill,Utilities,78.9,Expense
2020-03-12,Internet Bill,Utilities,151.59,Expense
2020-03-14,Electronics Shop,Shopping,218.33,Expense
2020-03-15,Movie Theater,Entertainment,42.94,Expense
2020-03-18,Pet Supplies,Health & Fitness,65.61,Expense
2020-03-21,Rent Paid,Rent,918.36,Expense
2020-03-23,Household Supplies,Investment,299.95,Income
2020-03-23,Local Burger Joint,Food & Drink,13.33,Expense
2020-03-24,Arcade,Entertainment,94.15,Expense
2020-03-28,Other,Other,95.91,Expense
2020-04-01,Train Ticket,Travel,120.71,Expense
2020-04-05,Electric Bill,Utilities,83.78,Expense
2020-04-06,Salary Received,Salary,1082.96,Income
2020-04-06,Target,Shopping,18.4,Expense
2020-04-10,Other,Other,109.09,Expense
2020-04-17,Salary Received,Salary,1082.96,Income
2020-04-17,Pet Supplies,Investment,258.42,Income
2020-04-18,Household Supplies,Health & Fitness,58.86,Expense
2020-04-22,Office Supplies,Investment,143.63,Income
2020-04-23,Electric Bill,Utilities,40.45,Expense
2020-04-25,Arcade,Entertainment,51.92,Expense
2020-04-26,Household Supplies,Investment,225.1,Income
2020-04-26,McDonald's,Food & Drink,34.23,Expense
2020-04-27,Streaming Subscription,Entertainment,77.81,Expense
2020-04-27,Concert Ticket,Entertainment,39.27,Expense
2020-04-29,Water Bill,Utilities,153.54,Expense
2020-04-30,Uber Ride,Travel,309.7,Expense
2020-05-01,Hotel Stay,Travel,460.11,Expense
2020-05-03,Salary Received,Salary,1082.96,Income
2020-05-03,Coffee Shop,Food & Drink,24.81,Expense
2020-05-05,Office Supplies,Health & Fitness,55.31,Expense
2020-05-06,Internet Bill,Utilities,95.46,Expense
2020-05-06,Phone Bill,Utilities,43.11,Expense
2020-05-07,Pet Supplies,Investment,319.31,Income
2020-05-11,Office Supplies,Investment,228.96,Income
2020-05-12,Electronics Shop,Shopping,129.13,Expense
2020-05-13,Household Supplies,Health & Fitness,64.7,Expense
2020-05-14,Office Supplies,Health & Fitness,51.99,Expense
2020-05-15,Car Rental,Travel,355.7,Expense
2020-05-16,Rent Paid,Rent,918.36,Expense
2020-05-17,Rent Paid,Rent,918.36,Expense
2020-05-19,Airline Ticket,Travel,60.8,Expense
2020-05-20,Rent Paid,Rent,918.36,Expense
2020-05-21,Electric Bill,Utilities,108.37,Expense
2020-05-25,Airline Ticket,Travel,373.88,Expense
2020-05-27,McDonald's,Food & Drink,31.04,Expense
2020-05-28,Rent Paid,Rent,918.36,Expense
2020-05-29,Pet Supplies,Investment,165.35,Income
2020-05-30,Water Bill,Utilities,40.82,Expense
2020-05-31,Household Supplies,Health & Fitness,92.0,Expense
2020-05-31,Car Rental,Travel,64.99,Expense
2020-06-01,McDonald's,Food & Drink,22.15,Expense
2020-06-02,Train Ticket,Travel,196.53,Expense
2020-06-05,Phone Bill,Utilities,157.72,Expense
2020-06-06,Salary Received,Salary,1082.96,Income
2020-06-07,McDonald's,Food & Drink,38.27,Expense
2020-06-08,Phone Bill,Utilities,84.64,Expense
2020-06-09,Phone Bill,Utilities,165.69,Expense
2020-06-09,Other,Other,25.4,Expense
2020-06-10,Movie Theater,Entertainment,47.13,Expense
2020-06-10,Pet Supplies,Health & Fitness,98.39,Expense
2020-06-11,Target,Shopping,202.73,Expense
2020-06-11,Streaming Subscription,Entertainment,82.08,Expense
2020-06-12,Water Bill,Utilities,72.02,Expense
2020-06-14,Other,Other,333.34,Income
2020-06-15,Streaming Subscription,Entertainment,25.14,Expense
2020-06-18,Rent Paid,Rent,918.36,Expense
2020-06-18,Other,Other,163.19,Income
2020-06-18,Other,Other,484.14,Income
2020-06-19,Bowling Alley,Entertainment,56.68,Expense
2020-06-19,Online Retail Order,Shopping,50.61,Expense
2020-06-21,Hotel Stay,Travel,526.5,Expense
2020-06-21,Household Supplies,Health & Fitness,25.6,Expense
2020-06-22,Other,Other,110.78,Expense
2020-06-22,Hotel Stay,Travel,37.57,Expense
2020-06-24,Pet Supplies,Health & Fitness,69.31,Expense
2020-06-30,Rent Paid,Rent,918.36,Expense
2020-06-30,Car Rental,Travel,268.71,Expense
2020-07-02,Bowling Alley,Entertainment,104.45,Expense
2020-07-03,Other,Other,78.13,Expense
2020-07-04,Rent Paid,Rent,918.36,Expense
2020-07-05,Airline Ticket,Travel,113.28,Expense
2020-07-06,Hotel Stay,Travel,229.01,Expense
2020-07-06,Other,Other,91.56,Expense
2020-07-08,Uber Ride,Travel,391.5,Expense
2020-07-11,Hotel Stay,Travel,560.03,Expense
2020-07-12,Office Supplies,Health & Fitness,35.11,Expense
2020-07-12,Movie Theater,Entertainment,85.69,Expense
2020-07-13,Water Bill,Utilities,60.87,Expense
2020-07-17,Household Supplies,Health & Fitness,90.12,Expense
2020-07-20,Streaming Subscription,Entertainment,42.25,Expense
2020-07-21,Bowling Alley,Entertainment,36.81,Expense
2020-07-21,Other,Other,267.27,Income
2020-07-22,Streaming Subscription,Entertainment,35.28,Expense
2020-07-22,Clothing Store,Shopping,102.1,Expense
2020-07-22,Thai Restaurant,Food & Drink,16.5,Expense
2020-07-23,Rent Paid,Rent,918.36,Expense
2020-07-24,Salary Received,Salary,1082.96,Income
2020-07-28,Rent Paid,Rent,918.36,Expense
2020-07-28,Office Supplies,Health & Fitness,75.45,Expense
2020-07-29,Online Retail Order,Shopping,143.01,Expense
2020-07-30,Internet Bill,Utilities,144.95,Expense
2020-07-31,Uber Ride,Travel,191.07,Expense
2020-08-01,Train Ticket,Travel,577.12,Expense
2020-08-01,Concert Ticket,Entertainment,69.78,Expense
2020-08-01,Other,Other,416.43,Income
2020-08-02,Office Supplies,Health & Fitness,83.13,Expense
2020-08-03,Household Supplies,Investment,93.1,Income
2020-08-04,Water Bill,Utilities,60.3,Expense
2020-08-04,Other,Other,56.56,Expense
2020-08-04,Clothing Store,Shopping,123.58,Expense
2020-08-05,Target,Shopping,137.65,Expense
2020-08-05,Local Burger Joint,Food & Drink,14.52,Expense
2020-08-06,Target,Shopping,57.33,Expense
2020-08-08,Uber Ride,Travel,312.27,Expense
2020-08-08,Electronics Shop,Shopping,170.02,Expense
2020-08-09,Streaming Subscription,Entertainment,35.16,Expense
2020-08-13,Salary Received,Salary,1104.62,Income
2020-08-14,Online Retail Order,Shopping,66.33,Expense
2020-08-16,Electric Bill,Utilities,173.69,Expense
2020-08-17,Amazon Purchase,Shopping,185.35,Expense
2020-08-18,Rent Paid,Rent,918.36,Expense
2020-08-19,Other,Other,182.63,Income
2020-08-20,Other,Other,36.96,Expense
2020-08-21,Office Supplies,Health & Fitness,8.95,Expense
2020-08-21,Airline Ticket,Travel,589.34,Expense
2020-08-22,Airline Ticket,Travel,24.93,Expense
2020-08-22,Thai Restaurant,Food & Drink,14.27,Expense
2020-08-26,Rent Paid,Rent,918.36,Expense
2020-08-27,Pizza Place,Food & Drink,37.11,Expense
2020-08-27,Office Supplies,Investment,430.26,Income
2020-08-29,Salary Received,Salary,1104.62,Income
2020-08-30,Movie Theater,Entertainment,25.91,Expense
2020-08-31,Pet Supplies,Health & Fitness,25.61,Expense
2020-09-01,Rent Paid,Rent,918.36,Expense
2020-09-05,Other,Other,31.03,Expense
2020-09-05,Car Rental,Travel,475.11,Expense
2020-09-06,Clothing Store,Shopping,225.42,Expense
2020-09-07,Rent Paid,Rent,918.36,Expense
2020-09-08,Streaming Subscription,Entertainment,60.68,Expense
2020-09-11,Rent Paid,Rent,918.36,Expense
2020-09-11,Local Burger Joint,Food & Drink,6.35,Expense
2020-09-11,Household Supplies,Health & Fitness,41.26,Expense
2020-09-16,McDonald's,Food & Drink,5.54,Expense
2020-09-17,Rent Paid,Rent,918.36,Expense
2020-09-17,Salary Received,Salary,1104.62,Income
2020-09-18,Uber Ride,Travel,222.52,Expense
2020-09-18,Salary Received,Salary,1104.62,Income
2020-09-22,Uber Ride,Travel,402.4,Expense
2020-09-22,Rent Paid,Rent,918.36,Expense
2020-09-22,Salary Received,Salary,1104.62,Income
2020-09-23,Pet Supplies,Health & Fitness,35.5,Expense
2020-09-23,Phone Bill,Utilities,131.28,Expense
2020-09-25,Uber Ride,Travel,557.94,Expense
2020-09-27,Airline Ticket,Travel,290.36,Expense
2020-09-27,Movie Theater,Entertainment,32.78,Expense
2020-09-27,Salary Received,Salary,1104.62,Income
2020-09-29,Salary Received,Salary,1104.62,Income
2020-09-30,Coffee Shop,Food & Drink,37.29,Expense
2020-10-01,Movie Theater,Entertainment,114.04,Expense
2020-10-03,Salary Received,Salary,1104.62,Income
2020-10-04,Pet Supplies,Health & Fitness,20.51,Expense
2020-10-07,Hotel Stay,Travel,541.79,Expense
2020-10-07,Office Supplies,Investment,81.52,Income
2020-10-07,Office Supplies,Investment,384.54,Income
2020-10-08,Salary Received,Salary,1104.62,Income
2020-10-08,Car Rental,Travel,71.3,Expense
2020-10-10,Car Rental,Travel,462.63,Expense
2020-10-10,Household Supplies,Investment,221.02,Income
2020-10-10,Office Supplies,Investment,333.28,Income
2020-10-12,Electric Bill,Utilities,104.09,Expense
2020-10-14,Rent Paid,Rent,918.36,Expense
2020-10-15,Salary Received,Salary,1104.62,Income
2020-10-16,McDonald's,Food & Drink,18.78,Expense
2020-10-16,Rent Paid,Rent,918.36,Expense
2020-10-16,Rent Paid,Rent,918.36,Expense
2020-10-18,Internet Bill,Utilities,152.65,Expense
2020-10-19,Uber Ride,Travel,286.23,Expense
2020-10-23,Electronics Shop,Shopping,177.52,Expense
2020-10-24,Arcade,Entertainment,96.02,Expense
2020-10-26,Salary Received,Salary,1104.62,Income
2020-10-27,Clothing Store,Shopping,159.5,Expense
2020-10-27,Rent Paid,Rent,918.36,Expense
2020-10-27,Movie Theater,Entertainment,115.75,Expense
2020-10-28,Pet Supplies,Investment,125.13,Income
2020-10-29,Phone Bill,Utilities,115.86,Expense
2020-10-30,Salary Received,Salary,1104.62,Income
2020-10-31,Train Ticket,Travel,161.84,Expense
2020-11-01,Concert Ticket,Entertainment,19.17,Expense
2020-11-01,Movie Theater,Entertainment,93.2,Expense
2020-11-02,Water Bill,Utilities,77.03,Expense
2020-11-04,Rent Paid,Rent,918.36,Expense
2020-11-06,Uber Ride,Travel,201.91,Expense
2020-11-07,Uber Ride,Travel,593.24,Expense
2020-11-09,Salary Received,Salary,1104.62,Income
2020-11-10,Amazon Purchase,Shopping,109.13,Expense
2020-11-10,Pizza Place,Food & Drink,20.45,Expense
2020-11-12,Pizza Place,Food & Drink,37.22,Expense
2020-11-12,Hotel Stay,Travel,478.24,Expense
2020-11-14,Internet Bill,Utilities,160.33,Expense
2020-11-14,Train Ticket,Travel,291.65,Expense
2020-11-14,Salary Received,Salary,1104.62,Income
2020-11-14,Electronics Shop,Shopping,64.94,Expense
2020-11-15,Electric Bill,Utilities,49.19,Expense
2020-11-15,Hotel Stay,Travel,66.29,Expense
2020-11-16,Grocery Store,Food & Drink,9.79,Expense
2020-11-16,Office Supplies,Health & Fitness,35.98,Expense
2020-11-17,Coffee Shop,Food & Drink,32.21,Expense
2020-11-20,Online Retail Order,Shopping,68.94,Expense
2020-11-22,Salary Received,Salary,1104.62,Income
2020-11-23,Bowling Alley,Entertainment,56.4,Expense
2020-11-25,Other,Other,65.47,Expense
2020-11-25,Salary Received,Salary,1104.62,Income
2020-11-26,Streaming Subscription,Entertainment,60.4,Expense
2020-11-27,Grocery Store,Food & Drink,15.84,Expense
2020-11-27,Household Supplies,Investment,148.65,Income
2020-11-29,Phone Bill,Utilities,159.33,Expense
2020-12-01,Airline Ticket,Travel,596.56,Expense
2020-12-05,Salary Received,Salary,1104.62,Income
2020-12-05,Amazon Purchase,Shopping,102.11,Expense
2020-12-06,Phone Bill,Utilities,104.65,Expense
2020-12-10,Electronics Shop,Shopping,93.72,Expense
2020-12-10,Hotel Stay,Travel,231.95,Expense
2020-12-11,Airline Ticket,Travel,418.56,Expense
2020-12-12,Salary Received,Salary,1104.62,Income
2020-12-13,Salary Received,Salary,1104.62,Income
2020-12-14,Online Retail Order,Shopping,187.8,Expense
2020-12-14,Bowling Alley,Entertainment,44.87,Expense
2020-12-16,Online Retail Order,Shopping,49.08,Expense
2020-12-16,Grocery Store,Food & Drink,29.76,Expense
2020-12-16,Electronics Shop,Shopping,118.26,Expense
2020-12-18,Water Bill,Utilities,168.28,Expense
2020-12-18,Other,Other,226.84,Income
2020-12-20,Salary Received,Salary,1104.62,Income
2020-12-20,Local Burger Joint,Food & Drink,19.33,Expense
2020-12-22,Phone Bill,Utilities,43.88,Expense
2020-12-23,Uber Ride,Travel,441.16,Expense
2020-12-23,Rent Paid,Rent,918.36,Expense
2020-12-24,Electronics Shop,Shopping,246.66,Expense
2020-12-25,Salary Received,Salary,1104.62,Income
2020-12-26,Pet Supplies,Investment,477.27,Income
2020-12-28,Train Ticket,Travel,114.3,Expense
2020-12-30,Target,Shopping,65.02,Expense
2020-12-31,Rent Paid,Rent,918.36,Expense
2021-01-01,Pizza Place,Food & Drink,16.95,Expense
2021-01-06,Train Ticket,Travel,255.45,Expense
2021-01-06,Movie Theater,Entertainment,108.94,Expense
2021-01-08,Water Bill,Utilities,176.15,Expense
2021-01-10,Other,Other,81.27,Expense
2021-01-10,Phone Bill,Utilities,111.43,Expense
2021-01-11,Salary Received,Salary,1104.62,Income
2021-01-12,Other,Other,6.48,Expense
2021-01-13,Water Bill,Utilities,137.54,Expense
2021-01-13,Uber Ride,Travel,384.02,Expense
2021-01-14,Hotel Stay,Travel,519.11,Expense
2021-01-14,Amazon Purchase,Shopping,40.33,Expense
2021-01-15,Other,Other,56.49,Expense
2021-01-15,Airline Ticket,Travel,345.77,Expense
2021-01-17,Electronics Shop,Shopping,204.96,Expense
2021-01-17,Coffee Shop,Food & Drink,32.1,Expense
2021-01-19,Hotel Stay,Travel,465.13,Expense
2021-01-20,Office Supplies,Health & Fitness,117.84,Expense
2021-01-24,Other,Other,195.29,Income
2021-01-26,McDonald's,Food & Drink,5.99,Expense
2021-01-27,Pet Supplies,Health & Fitness,17.2,Expense
2021-01-27,Other,Other,113.79,Income
2021-01-27,Water Bill,Utilities,61.47,Expense
2021-01-27,Pet Supplies,Health & Fitness,71.8,Expense
2021-01-29,Phone Bill,Utilities,100.32,Expense
2021-02-02,Salary Received,Salary,1126.71,Income
2021-02-05,Office Supplies,Health & Fitness,12.37,Expense
2021-02-05,Rent Paid,Rent,918.36,Expense
2021-02-08,Amazon Purchase,Shopping,80.61,Expense
2021-02-08,Household Supplies,Health & Fitness,49.94,Expense
2021-02-09,Train Ticket,Travel,313.41,Expense
2021-02-09,Hotel Stay,Travel,458.33,Expense
2021-02-11,Office Supplies,Health & Fitness,61.24,Expense
2021-02-11,Pizza Place,Food & Drink,33.9,Expense
2021-02-13,Office Supplies,Health & Fitness,67.15,Expense
2021-02-16,Rent Paid,Rent,918.36,Expense
2021-02-18,Hotel Stay,Travel,227.17,Expense
2021-02-19,Office Supplies,Investment,109.46,Income
2021-02-20,Salary Received,Salary,1126.71,Income
2021-02-21,Water Bill,Utilities,164.5,Expense
2021-02-23,Clothing Store,Shopping,173.25,Expense
2021-02-24,Amazon Purchase,Shopping,239.04,Expense
2021-02-27,Online Retail Order,Shopping,64.31,Expense
2021-02-28,Household Supplies,Health & Fitness,31.77,Expense
2021-03-02,Bowling Alley,Entertainment,60.22,Expense
2021-03-02,Other,Other,305.54,Income
2021-03-02,Office Supplies,Health & Fitness,22.11,Expense
2021-03-04,Rent Paid,Rent,902.46,Expense
2021-03-05,Rent Paid,Rent,902.46,Expense
2021-03-05,McDonald's,Food & Drink,6.39,Expense
2021-03-07,Electric Bill,Utilities,89.27,Expense
2021-03-07,Concert Ticket,Entertainment,92.62,Expense
2021-03-08,Concert Ticket,Entertainment,107.79,Expense
2021-03-09,Household Supplies,Investment,473.27,Income
2021-03-09,Phone Bill,Utilities,51.09,Expense
2021-03-10,Electric Bill,Utilities,50.96,Expense
2021-03-12,Phone Bill,Utilities,138.75,Expense
2021-03-15,Bowling Alley,Entertainment,17.46,Expense
2021-03-15,Other,Other,228.95,Income
2021-03-16,Other,Other,39.5,Expense
2021-03-16,Office Supplies,Investment,151.62,Income
2021-03-17,Office Supplies,Health & Fitness,19.8,Expense
2021-03-17,Household Supplies,Investment,222.78,Income
2021-03-18,Uber Ride,Travel,542.04,Expense
2021-03-19,McDonald's,Food & Drink,22.24,Expense
2021-03-20,Online Retail Order,Shopping,16.88,Expense
2021-03-21,Salary Received,Salary,1126.71,Income
2021-03-22,Pet Supplies,Investment,67.71,Income
2021-03-22,Other,Other,29.08,Expense
2021-03-22,Car Rental,Travel,125.18,Expense
2021-03-23,Rent Paid,Rent,902.46,Expense
2021-03-23,Pet Supplies,Investment,56.18,Income
2021-03-24,Arcade,Entertainment,106.68,Expense
2021-03-25,Online Retail Order,Shopping,173.22,Expense
2021-03-26,Other,Other,105.58,Expense
2021-03-27,Office Supplies,Health & Fitness,56.06,Expense
2021-03-28,Salary Received,Salary,1126.71,Income
2021-03-29,Rent Paid,Rent,902.46,Expense
2021-03-30,Household Supplies,Health & Fitness,108.35,Expense
2021-04-01,Household Supplies,Health & Fitness,75.34,Expense
2021-04-02,Target,Shopping,175.2,Expense
2021-04-03,Airline Ticket,Travel,433.33,Expense
2021-04-03,Concert Ticket,Entertainment,58.34,Expense
2021-04-03,Rent Paid,Rent,902.46,Expense
2021-04-08,Rent Paid,Rent,902.46,Expense
2021-04-08,Amazon Purchase,Shopping,83.89,Expense
2021-04-09,Pizza Place,Food & Drink,36.04,Expense
2021-04-11,Train Ticket,Travel,234.07,Expense
2021-04-11,Uber Ride,Travel,273.34,Expense
2021-04-12,Phone Bill,Utilities,78.68,Expense
2021-04-13,Clothing Store,Shopping,145.11,Expense
2021-04-18,Thai Restaurant,Food & Drink,23.84,Expense
2021-04-19,Online Retail Order,Shopping,116.46,Expense
2021-04-19,Office Supplies,Health & Fitness,45.63,Expense
2021-04-19,Rent Paid,Rent,902.46,Expense
2021-04-19,Pet Supplies,Investment,203.39,Income
2021-04-21,Electronics Shop,Shopping,198.09,Expense
2021-04-23,Car Rental,Travel,108.98,Expense
2021-04-23,Household Supplies,Health & Fitness,87.85,Expense
2021-04-24,Salary Received,Salary,1126.71,Income
2021-04-27,Bowling Alley,Entertainment,32.95,Expense
2021-04-27,Coffee Shop,Food & Drink,37.62,Expense
2021-04-27,Water Bill,Utilities,93.9,Expense
2021-04-30,Rent Paid,Rent,902.46,Expense
2021-05-02,Phone Bill,Utilities,85.33,Expense
2021-05-04,Arcade,Entertainment,109.11,Expense
2021-05-04,Pet Supplies,Health & Fitness,10.45,Expense
2021-05-06,Pizza Place,Food & Drink,39.22,Expense
2021-05-07,Rent Paid,Rent,902.46,Expense
2021-05-07,Online Retail Order,Shopping,233.24,Expense
2021-05-07,Rent Paid,Rent,902.46,Expense
2021-05-10,Phone Bill,Utilities,133.05,Expense
2021-05-11,Household Supplies,Health & Fitness,70.5,Expense
2021-05-11,Bowling Alley,Entertainment,67.68,Expense
2021-05-12,Rent Paid,Rent,902.46,Expense
2021-05-14,Pet Supplies,Health & Fitness,14.59,Expense
2021-05-14,Rent Paid,Rent,902.46,Expense
2021-05-15,Office Supplies,Investment,351.51,Income
2021-05-17,Phone Bill,Utilities,174.12,Expense
2021-05-19,Household Supplies,Investment,20.49,Income
2021-05-22,Rent Paid,Rent,902.46,Expense
2021-05-23,Salary Received,Salary,1126.71,Income
2021-05-24,Salary Received,Salary,1126.71,Income
2021-05-24,Office Supplies,Health & Fitness,100.32,Expense
2021-05-24,Electric Bill,Utilities,156.27,Expense
2021-05-25,Car Rental,Travel,215.18,Expense
2021-05-25,Pet Supplies,Health & Fitness,83.18,Expense
2021-05-27,Salary Received,Salary,1126.71,Income
2021-05-27,Car Rental,Travel,102.12,Expense
2021-05-29,Rent Paid,Rent,902.46,Expense
2021-05-30,Salary Received,Salary,1126.71,Income
2021-05-31,Local Burger Joint,Food & Drink,10.71,Expense
2021-05-31,Bowling Alley,Entertainment,88.26,Expense
2021-06-02,Electric Bill,Utilities,111.39,Expense
2021-06-02,Office Supplies,Health & Fitness,72.73,Expense
2021-06-03,Household Supplies,Investment,471.42,Income
2021-06-06,Salary Received,Salary,1126.71,Income
2021-06-06,Internet Bill,Utilities,150.42,Expense
2021-06-06,Electronics Shop,Shopping,226.29,Expense
2021-06-09,Coffee Shop,Food & Drink,15.21,Expense
2021-06-11,Rent Paid,Rent,902.46,Expense
2021-06-11,Online Retail Order,Shopping,245.21,Expense
2021-06-14,Internet Bill,Utilities,154.63,Expense
2021-06-15,Electric Bill,Utilities,53.94,Expense
2021-06-16,Electronics Shop,Shopping,35.47,Expense
2021-06-20,Rent Paid,Rent,902.46,Expense
2021-06-20,Household Supplies,Health & Fitness,27.02,Expense
2021-06-22,Rent Paid,Rent,902.46,Expense
2021-06-23,Pet Supplies,Health & Fitness,43.68,Expense
2021-06-24,Arcade,Entertainment,34.14,Expense
2021-06-26,Concert Ticket,Entertainment,15.7,Expense
2021-06-27,Office Supplies,Investment,146.01,Income
2021-06-28,Rent Paid,Rent,902.46,Expense
2021-06-28,Grocery Store,Food & Drink,21.19,Expense
2021-06-28,Water Bill,Utilities,149.69,Expense
2021-06-28,Pet Supplies,Investment,39.35,Income
2021-06-29,Coffee Shop,Food & Drink,34.21,Expense
2021-07-04,Arcade,Entertainment,63.94,Expense
2021-07-04,Salary Received,Salary,1126.71,Income
2021-07-04,Salary Received,Salary,1126.71,Income
2021-07-06,Other,Other,402.78,Income
2021-07-07,Target,Shopping,72.37,Expense
2021-07-09,Electric Bill,Utilities,169.96,Expense
2021-07-09,Phone Bill,Utilities,142.93,Expense
2021-07-10,Other,Other,311.22,Income
2021-07-10,Rent Paid,Rent,902.46,Expense
2021-07-11,Rent Paid,Rent,902.46,Expense
2021-07-11,Uber Ride,Travel,264.59,Expense
2021-07-11,Electronics Shop,Shopping,96.57,Expense
2021-07-12,Salary Received,Salary,1126.71,Income
2021-07-13,Electronics Shop,Shopping,31.7,Expense
2021-07-14,Movie Theater,Entertainment,41.42,Expense
2021-07-15,Office Supplies,Investment,56.3,Income
2021-07-19,Rent Paid,Rent,902.46,Expense
2021-07-19,Phone Bill,Utilities,92.71,Expense
2021-07-23,Salary Received,Salary,1126.71,Income
2021-07-23,Other,Other,185.65,Income
2021-07-24,Rent Paid,Rent,902.46,Expense
2021-07-28,Internet Bill,Utilities,122.82,Expense
2021-07-29,Electronics Shop,Shopping,188.89,Expense
2021-08-02,Train Ticket,Travel,450.84,Expense
2021-08-06,Salary Received,Salary,1149.25,Income
2021-08-07,Salary Received,Salary,1149.25,Income
2021-08-07,Household Supplies,Investment,178.04,Income
2021-08-08,Thai Restaurant,Food & Drink,10.51,Expense
2021-08-09,Electronics Shop,Shopping,186.38,Expense
2021-08-11,Household Supplies,Health & Fitness,35.53,Expense
2021-08-13,Grocery Store,Food & Drink,21.81,Expense
2021-08-13,Electronics Shop,Shopping,226.44,Expense
2021-08-15,Coffee Shop,Food & Drink,5.23,Expense
2021-08-16,Household Supplies,Investment,375.13,Income
2021-08-18,Pet Supplies,Health & Fitness,79.19,Expense
2021-08-20,Household Supplies,Health & Fitness,51.81,Expense
2021-08-21,Other,Other,474.47,Income
2021-08-21,Internet Bill,Utilities,127.36,Expense
2021-08-22,Salary Received,Salary,1149.25,Income
2021-08-23,Movie Theater,Entertainment,114.35,Expense
2021-08-24,Car Rental,Travel,75.26,Expense
2021-08-25,Salary Received,Salary,1149.25,Income
2021-08-27,Streaming Subscription,Entertainment,17.45,Expense
2021-08-29,Local Burger Joint,Food & Drink,16.92,Expense
2021-09-05,Rent Paid,Rent,902.46,Expense
2021-09-06,Electronics Shop,Shopping,39.22,Expense
2021-09-09,Amazon Purchase,Shopping,230.67,Expense
2021-09-09,Other,Other,290.42,Income
2021-09-09,Uber Ride,Travel,476.68,Expense
2021-09-10,Rent Paid,Rent,902.46,Expense
2021-09-11,Internet Bill,Utilities,62.18,Expense
2021-09-11,Rent Paid,Rent,902.46,Expense
