date,description,category,amount,type
2021-09-11,Salary Received,Salary,1149.25,Income
2021-09-11,Salary Received,Salary,1149.25,Income
2021-09-15,Other,Other,227.73,Income
2021-09-16,Pizza Place,Food & Drink,18.08,Expense
2021-09-16,Office Supplies,Health & Fitness,52.77,Expense
2021-09-17,Water Bill,Utilities,173.62,Expense
2021-09-17,Other,Other,452.22,Income
2021-09-19,Office Supplies,Investment,250.5,Income
2021-09-19,Coffee Shop,Food & Drink,23.51,Expense
2021-09-19,Pet Supplies,Health & Fitness,94.91,Expense
2021-09-19,Electric Bill,Utilities,161.53,Expense
2021-09-20,Uber Ride,Travel,409.05,Expense
2021-09-21,Pet Supplies,Investment,129.94,Income
2021-09-28,Rent Paid,Rent,902.46,Expense
2021-10-01,Salary Received,Salary,1149.25,Income
2021-10-07,Salary Received,Salary,1149.25,Income
2021-10-08,Pet Supplies,Investment,296.4,Income
2021-10-13,Other,Other,41.72,Expense
2021-10-13,Household Supplies,Health & Fitness,93.2,Expense
2021-10-13,Hotel Stay,Travel,576.51,Expense
2021-10-16,Phone Bill,Utilities,162.28,Expense
2021-10-20,Rent Paid,Rent,902.46,Expense
2021-10-21,Concert Ticket,Entertainment,96.66,Expense
2021-10-22,Other,Other,354.08,Income
2021-10-24,Electric Bill,Utilities,166.09,Expense
2021-10-24,Other,Other,41.09,Expense
2021-10-27,Salary Received,Salary,1149.25,Income
2021-10-27,Rent Paid,Rent,902.46,Expense
2021-10-30,Rent Paid,Rent,902.46,Expense
2021-11-03,Pet Supplies,Health & Fitness,85.05,Expense
2021-11-04,Electric Bill,Utilities,172.37,Expense
2021-11-05,Pet Supplies,Investment,63.72,Income
2021-11-05,Hotel Stay,Travel,443.12,Expense
2021-11-06,Movie Theater,Entertainment,114.33,Expense
2021-11-07,Hotel Stay,Travel,38.0,Expense
2021-11-10,Airline Ticket,Travel,380.81,Expense
2021-11-15,Rent Paid,Rent,902.46,Expense
2021-11-16,Office Supplies,Investment,214.01,Income
2021-11-17,Household Supplies,Health & Fitness,110.58,Expense
2021-11-18,McDonald's,Food & Drink,16.7,Expense
2021-11-18,Hotel Stay,Travel,382.97,Expense
2021-11-19,Amazon Purchase,Shopping,114.5,Expense
2021-11-21,Other,Other,35.08,Expense
2021-11-21,Electronics Shop,Shopping,232.81,Expense
2021-11-21,Office Supplies,Investment,67.7,Income
2021-11-23,Salary Received,Salary,1149.25,Income
2021-11-26,Electric Bill,Utilities,98.66,Expense
2021-11-27,Pet Supplies,Health & Fitness,51.59,Expense
2021-11-28,Other,Other,356.4,Income
2021-12-01,Household Supplies,Health & Fitness,106.82,Expense
2021-12-02,Other,Other,31.21,Expense
2021-12-03,Pet Supplies,Investment,161.12,Income
2021-12-03,Target,Shopping,110.65,Expense
2021-12-08,Water Bill,Utilities,136.74,Expense
2021-12-09,Office Supplies,Health & Fitness,53.57,Expense
2021-12-09,Other,Other,61.71,Expense
2021-12-11,Salary Received,Salary,1149.25,Income
2021-12-12,Salary Received,Salary,1149.25,Income
2021-12-13,Office Supplies,Health & Fitness,65.04,Expense
2021-12-13,Salary Received,Salary,1149.25,Income
2021-12-15,Office Supplies,Investment,32.86,Income
2021-12-15,Other,Other,298.41,Income
2021-12-16,Pet Supplies,Health & Fitness,20.31,Expense
2021-12-19,Household Supplies,Investment,455.44,Income
2021-12-20,Rent Paid,Rent,902.46,Expense
2021-12-20,Train Ticket,Travel,522.88,Expense
2021-12-23,Rent Paid,Rent,902.46,Expense
2021-12-24,Other,Other,110.68,Income
2021-12-26,Pet Supplies,Health & Fitness,86.33,Expense
2021-12-28,Other,Other,89.09,Expense
2021-12-31,Household Supplies,Investment,429.39,Income
2022-01-01,Salary Received,Salary,1149.25,Income
2022-01-03,Household Supplies,Investment,327.26,Income
2022-01-03,Pet Supplies,Health & Fitness,103.11,Expense
2022-01-03,Airline Ticket,Travel,530.49,Expense
2022-01-04,Salary Received,Salary,1149.25,Income
2022-01-05,Local Burger Joint,Food & Drink,14.59,Expense
2022-01-06,Online Retail Order,Shopping,215.69,Expense
2022-01-08,Coffee Shop,Food & Drink,25.59,Expense
2022-01-09,Streaming Subscription,Entertainment,10.02,Expense
2022-01-13,Water Bill,Utilities,67.59,Expense
2022-01-13,Amazon Purchase,Shopping,198.21,Expense
2022-01-14,McDonald's,Food & Drink,16.98,Expense
2022-01-16,Arcade,Entertainment,102.74,Expense
2022-01-16,Internet Bill,Utilities,124.37,Expense
2022-01-18,Salary Received,Salary,1149.25,Income
2022-01-18,Coffee Shop,Food & Drink,39.53,Expense
2022-01-21,Office Supplies,Health & Fitness,92.84,Expense
2022-01-21,Target,Shopping,36.87,Expense
2022-01-22,Other,Other,283.27,Income
2022-01-23,Hotel Stay,Travel,505.92,Expense
2022-01-24,Household Supplies,Investment,125.66,Income
2022-01-28,Concert Ticket,Entertainment,66.85,Expense
2022-02-01,Train Ticket,Travel,113.0,Expense
2022-02-02,Salary Received,Salary,1172.23,Income
2022-02-05,Car Rental,Travel,236.37,Expense
2022-02-05,Clothing Store,Shopping,190.03,Expense
2022-02-06,Household Supplies,Health & Fitness,57.14,Expense
2022-02-08,Uber Ride,Travel,403.65,Expense
2022-02-08,Rent Paid,Rent,902.46,Expense
2022-02-09,Hotel Stay,Travel,541.62,Expense
2022-02-10,Train Ticket,Travel,426.88,Expense
2022-02-10,Internet Bill,Utilities,52.89,Expense
2022-02-10,Bowling Alley,Entertainment,55.37,Expense
2022-02-10,Concert Ticket,Entertainment,44.77,Expense
2022-02-11,Other,Other,318.32,Income
2022-02-14,Rent Paid,Rent,902.46,Expense
2022-02-17,Pet Supplies,Investment,450.49,Income
2022-02-17,Salary Received,Salary,1172.23,Income
2022-02-17,Other,Other,198.63,Income
2022-02-17,Grocery Store,Food & Drink,17.0,Expense
2022-02-18,Household Supplies,Investment,244.77,Income
2022-02-21,Pizza Place,Food & Drink,34.32,Expense
2022-02-22,Office Supplies,Investment,271.26,Income
2022-02-22,Amazon Purchase,Shopping,163.48,Expense
2022-02-25,Other,Other,53.32,Expense
2022-02-27,Office Supplies,Investment,290.48,Income
2022-03-01,Salary Received,Salary,1172.23,Income
2022-03-02,Other,Other,61.91,Expense
2022-03-04,Office Supplies,Investment,493.96,Income
2022-03-05,Other,Other,59.05,Expense
2022-03-07,Pizza Place,Food & Drink,29.05,Expense
2022-03-07,Movie Theater,Entertainment,79.24,Expense
2022-03-12,Clothing Store,Shopping,234.62,Expense
2022-03-14,Rent Paid,Rent,902.46,Expense
2022-03-17,Office Supplies,Investment,491.01,Income
2022-03-17,Arcade,Entertainment,19.9,Expense
2022-03-18,Salary Received,Salary,1172.23,Income
2022-03-18,Hotel Stay,Travel,593.16,Expense
2022-03-18,Hotel Stay,Travel,437.42,Expense
2022-03-20,Grocery Store,Food & Drink,25.3,Expense
2022-03-20,Phone Bill,Utilities,89.91,Expense
2022-03-22,Hotel Stay,Travel,137.79,Expense
2022-03-23,Uber Ride,Travel,589.88,Expense
2022-03-23,Internet Bill,Utilities,72.93,Expense
2022-03-24,Office Supplies,Health & Fitness,106.21,Expense
2022-03-25,Salary Received,Salary,1172.23,Income
2022-03-26,Movie Theater,Entertainment,16.28,Expense
2022-03-27,Rent Paid,Rent,902.46,Expense
2022-03-28,Pet Supplies,Health & Fitness,97.15,Expense
2022-03-28,Coffee Shop,Food & Drink,35.44,Expense
2022-03-28,Movie Theater,Entertainment,36.94,Expense
2022-03-28,Other,Other,82.7,Expense
2022-03-29,Arcade,Entertainment,117.46,Expense
2022-03-29,Salary Received,Salary,1172.23,Income
2022-03-31,Electronics Shop,Shopping,102.38,Expense
2022-03-31,Other,Other,297.05,Income
2022-03-31,Clothing Store,Shopping,52.21,Expense
2022-04-01,Pet Supplies,Investment,486.72,Income
2022-04-01,Other,Other,52.87,Expense
2022-04-01,Coffee Shop,Food & Drink,8.97,Expense
2022-04-01,Other,Other,20.87,Income
2022-04-02,Water Bill,Utilities,137.02,Expense
2022-04-02,Target,Shopping,46.98,Expense
2022-04-03,Salary Received,Salary,1172.23,Income
2022-04-03,Amazon Purchase,Shopping,176.04,Expense
2022-04-04,Internet Bill,Utilities,61.59,Expense
2022-04-05,Electric Bill,Utilities,172.12,Expense
2022-04-08,Internet Bill,Utilities,167.92,Expense
2022-04-09,Thai Restaurant,Food & Drink,39.45,Expense
2022-04-09,Salary Received,Salary,1172.23,Income
2022-04-10,Target,Shopping,221.43,Expense
2022-04-10,Office Supplies,Health & Fitness,49.38,Expense
2022-04-16,Household Supplies,Investment,170.67,Income
2022-04-18,Electronics Shop,Shopping,130.66,Expense
2022-04-18,Pizza Place,Food & Drink,13.33,Expense
2022-04-21,Household Supplies,Investment,220.57,Income
2022-04-22,McDonald's,Food & Drink,16.76,Expense
2022-04-22,Other,Other,401.13,Income
2022-04-24,Pizza Place,Food & Drink,37.73,Expense
2022-04-24,Arcade,Entertainment,48.23,Expense
2022-04-29,Household Supplies,Health & Fitness,53.47,Expense
2022-04-30,Household Supplies,Health & Fitness,77.21,Expense
2022-05-02,Bowling Alley,Entertainment,90.36,Expense
2022-05-02,Electric Bill,Utilities,99.59,Expense
2022-05-03,Salary Received,Salary,1172.23,Income
2022-05-05,Amazon Purchase,Shopping,67.23,Expense
2022-05-05,Amazon Purchase,Shopping,161.15,Expense
2022-05-06,Water Bill,Utilities,63.82,Expense
2022-05-07,Concert Ticket,Entertainment,78.08,Expense
2022-05-07,Salary Received,Salary,1172.23,Income
2022-05-07,Amazon Purchase,Shopping,166.0,Expense
2022-05-08,Pet Supplies,Investment,188.95,Income
2022-05-08,Rent Paid,Rent,902.46,Expense
2022-05-09,Rent Paid,Rent,902.46,Expense
2022-05-09,Grocery Store,Food & Drink,18.87,Expense
2022-05-11,Thai Restaurant,Food & Drink,14.28,Expense
2022-05-13,Office Supplies,Investment,363.79,Income
2022-05-13,Household Supplies,Health & Fitness,84.52,Expense
2022-05-14,Bowling Alley,Entertainment,116.84,Expense
2022-05-19,Rent Paid,Rent,902.46,Expense
2022-05-19,Concert Ticket,Entertainment,107.55,Expense
2022-05-20,Target,Shopping,115.85,Expense
2022-05-20,Train Ticket,Travel,459.58,Expense
2022-05-22,Household Supplies,Health & Fitness,79.07,Expense
2022-05-23,Salary Received,Salary,1172.23,Income
2022-05-24,Salary Received,Salary,1172.23,Income
2022-05-24,Arcade,Entertainment,69.07,Expense
2022-05-25,Concert Ticket,Entertainment,25.4,Expense
2022-05-27,Other,Other,64.73,Expense
2022-05-28,Other,Other,176.74,Income
2022-05-29,Arcade,Entertainment,64.3,Expense
2022-05-29,Office Supplies,Health & Fitness,29.95,Expense
2022-05-30,Salary Received,Salary,1172.23,Income
2022-05-30,Office Supplies,Health & Fitness,97.97,Expense
2022-05-31,Salary Received,Salary,1172.23,Income
2022-06-01,McDonald's,Food & Drink,30.88,Expense
2022-06-01,Rent Paid,Rent,923.52,Expense
2022-06-04,Thai Restaurant,Food & Drink,11.27,Expense
2022-06-04,Concert Ticket,Entertainment,19.94,Expense
2022-06-06,Pet Supplies,Investment,396.12,Income
2022-06-07,McDonald's,Food & Drink,37.95,Expense
2022-06-07,Salary Received,Salary,1172.23,Income
2022-06-11,Other,Other,62.49,Expense
2022-06-11,Other,Other,15.75,Expense
2022-06-12,Coffee Shop,Food & Drink,15.14,Expense
2022-06-12,Online Retail Order,Shopping,40.67,Expense
2022-06-12,Rent Paid,Rent,923.52,Expense
2022-06-13,Bowling Alley,Entertainment,87.85,Expense
2022-06-17,Office Supplies,Health & Fitness,65.1,Expense
2022-06-17,Household Supplies,Health & Fitness,74.65,Expense
2022-06-18,Streaming Subscription,Entertainment,65.2,Expense
2022-06-19,Rent Paid,Rent,923.52,Expense
2022-06-20,Coffee Shop,Food & Drink,33.34,Expense
2022-06-21,Salary Received,Salary,1172.23,Income
2022-06-21,Household Supplies,Investment,405.06,Income
2022-06-23,Electronics Shop,Shopping,169.57,Expense
2022-06-23,Rent Paid,Rent,923.52,Expense
2022-06-25,Streaming Subscription,Entertainment,85.34,Expense
2022-06-25,Salary Received,Salary,1172.23,Income
2022-06-26,Car Rental,Travel,447.22,Expense
2022-06-26,Thai Restaurant,Food & Drink,25.24,Expense
2022-06-30,Coffee Shop,Food & Drink,17.59,Expense
2022-07-01,Clothing Store,Shopping,108.12,Expense
2022-07-02,Movie Theater,Entertainment,12.46,Expense
2022-07-04,Pet Supplies,Health & Fitness,9.28,Expense
2022-07-04,Rent Paid,Rent,923.52,Expense
2022-07-04,Grocery Store,Food & Drink,21.27,Expense
2022-07-05,Rent Paid,Rent,923.52,Expense
2022-07-06,Clothing Store,Shopping,203.46,Expense
2022-07-13,Train Ticket,Travel,430.19,Expense
2022-07-17,Arcade,Entertainment,52.34,Expense
2022-07-17,Target,Shopping,127.69,Expense
2022-07-17,Online Retail Order,Shopping,211.96,Expense
2022-07-18,Arcade,Entertainment,96.65,Expense
2022-07-18,Office Supplies,Investment,427.55,Income
2022-07-19,Phone Bill,Utilities,177.09,Expense
2022-07-20,Rent Paid,Rent,923.52,Expense
2022-07-22,Salary Received,Salary,1172.23,Income
2022-07-25,Phone Bill,Utilities,127.22,Expense
2022-07-27,Online Retail Order,Shopping,242.92,Expense
2022-07-27,Household Supplies,Investment,392.41,Income
2022-07-27,Pizza Place,Food & Drink,8.36,Expense
2022-07-27,Rent Paid,Rent,923.52,Expense
2022-07-28,Bowling Alley,Entertainment,34.39,Expense
2022-07-28,Other,Other,109.04,Expense
2022-07-29,Other,Other,118.82,Expense
2022-07-30,Rent Paid,Rent,923.52,Expense
2022-07-31,Hotel Stay,Travel,216.72,Expense
2022-08-02,Other,Other,11.75,Expense
2022-08-02,Salary Received,Salary,1195.68,Income
2022-08-03,Pet Supplies,Investment,363.66,Income
2022-08-04,Amazon Purchase,Shopping,97.12,Expense
2022-08-06,Household Supplies,Health & Fitness,24.39,Expense
2022-08-07,Internet Bill,Utilities,70.06,Expense
2022-08-12,Streaming Subscription,Entertainment,12.72,Expense
2022-08-13,Other,Other,191.95,Income
2022-08-15,Salary Received,Salary,1195.68,Income
2022-08-15,Pet Supplies,Health & Fitness,115.46,Expense
2022-08-16,Target,Shopping,238.53,Expense
2022-08-16,Streaming Subscription,Entertainment,37.99,Expense
2022-08-17,Coffee Shop,Food & Drink,29.47,Expense
2022-08-18,Bowling Alley,Entertainment,15.11,Expense
2022-08-19,Rent Paid,Rent,923.52,Expense
2022-08-21,Target,Shopping,97.15,Expense
2022-08-21,Other,Other,370.43,Income
2022-08-22,Phone Bill,Utilities,134.68,Expense
2022-08-22,Rent Paid,Rent,923.52,Expense
2022-08-23,Amazon Purchase,Shopping,68.5,Expense
2022-08-24,Target,Shopping,94.7,Expense
2022-08-26,Office Supplies,Health & Fitness,20.08,Expense
2022-08-26,Rent Paid,Rent,923.52,Expense
2022-08-28,Household Supplies,Health & Fitness,22.4,Expense
2022-08-29,Clothing Store,Shopping,16.46,Expense
2022-08-30,Target,Shopping,94.58,Expense
2022-08-31,Office Supplies,Investment,222.85,Income
2022-08-31,Arcade,Entertainment,41.34,Expense
2022-09-01,Phone Bill,Utilities,114.44,Expense
2022-09-02,Household Supplies,Investment,214.77,Income
2022-09-03,Rent Paid,Rent,923.52,Expense
2022-09-03,Internet Bill,Utilities,125.81,Expense
2022-09-03,Concert Ticket,Entertainment,94.05,Expense
2022-09-04,Rent Paid,Rent,923.52,Expense
2022-09-04,Household Supplies,Health & Fitness,119.16,Expense
2022-09-05,Pet Supplies,Investment,471.29,Income
2022-09-06,Rent Paid,Rent,923.52,Expense
2022-09-07,Office Supplies,Investment,86.81,Income
2022-09-08,Household Supplies,Investment,127.65,Income
2022-09-10,Salary Received,Salary,1195.68,Income
2022-09-11,Phone Bill,Utilities,151.03,Expense
2022-09-11,Online Retail Order,Shopping,187.76,Expense
2022-09-12,Concert Ticket,Entertainment,117.08,Expense
2022-09-14,Coffee Shop,Food & Drink,7.08,Expense
2022-09-15,Rent Paid,Rent,923.52,Expense
2022-09-15,Internet Bill,Utilities,100.62,Expense
2022-09-17,Pet Supplies,Investment,334.73,Income
2022-09-18,Salary Received,Salary,1195.68,Income
2022-09-19,Online Retail Order,Shopping,139.74,Expense
2022-09-19,Pet Supplies,Health & Fitness,70.57,Expense
2022-09-21,Water Bill,Utilities,59.89,Expense
2022-09-23,Airline Ticket,Travel,565.86,Expense
2022-09-26,Phone Bill,Utilities,85.5,Expense
2022-09-26,Rent Paid,Rent,923.52,Expense
2022-09-28,Online Retail Order,Shopping,107.41,Expense
2022-09-29,Other,Other,170.83,Income
2022-09-29,Office Supplies,Investment,165.61,Income
2022-09-30,Phone Bill,Utilities,93.02,Expense
2022-10-01,Grocery Store,Food & Drink,14.12,Expense
2022-10-02,Salary Received,Salary,1195.68,Income
2022-10-03,Salary Received,Salary,1195.68,Income
2022-10-04,Salary Received,Salary,1195.68,Income
2022-10-04,Household Supplies,Investment,419.88,Income
2022-10-05,Uber Ride,Travel,509.33,Expense
2022-10-08,Salary Received,Salary,1195.68,Income
2022-10-10,Salary Received,Salary,1195.68,Income
2022-10-12,Office Supplies,Investment,285.3,Income
2022-10-12,Office Supplies,Health & Fitness,74.26,Expense
2022-10-13,Salary Received,Salary,1195.68,Income
2022-10-19,Rent Paid,Rent,923.52,Expense
2022-10-19,Concert Ticket,Entertainment,65.47,Expense
2022-10-20,Salary Received,Salary,1195.68,Income
2022-10-21,Rent Paid,Rent,923.52,Expense
2022-10-22,Movie Theater,Entertainment,17.81,Expense
2022-10-23,Office Supplies,Health & Fitness,16.73,Expense
2022-10-25,Target,Shopping,127.49,Expense
2022-10-28,Household Supplies,Investment,82.26,Income
2022-10-30,Household Supplies,Health & Fitness,76.96,Expense
2022-10-31,Phone Bill,Utilities,172.38,Expense
2022-11-03,Train Ticket,Travel,40.16,Expense
2022-11-04,Rent Paid,Rent,923.52,Expense
2022-11-05,Clothing Store,Shopping,156.54,Expense
2022-11-07,Electric Bill,Utilities,103.35,Expense
2022-11-07,Pet Supplies,Investment,394.58,Income
2022-11-09,Clothing Store,Shopping,180.6,Expense
2022-11-10,Uber Ride,Travel,561.92,Expense
2022-11-13,Rent Paid,Rent,923.52,Expense
2022-11-14,Rent Paid,Rent,923.52,Expense
2022-11-14,Office Supplies,Health & Fitness,81.35,Expense
2022-11-15,Coffee Shop,Food & Drink,30.04,Expense
2022-11-17,Rent Paid,Rent,923.52,Expense
2022-11-17,Household Supplies,Health & Fitness,46.41,Expense
2022-11-18,Target,Shopping,151.09,Expense
2022-11-19,Bowling Alley,Entertainment,78.25,Expense
2022-11-21,Hotel Stay,Travel,87.57,Expense
2022-11-22,Salary Received,Salary,1195.68,Income
2022-11-26,McDonald's,Food & Drink,11.97,Expense
2022-11-26,Salary Received,Salary,1195.68,Income
2022-11-28,Electric Bill,Utilities,73.05,Expense
2022-11-28,Other,Other,292.18,Income
2022-12-01,Internet Bill,Utilities,125.38,Expense
2022-12-03,Train Ticket,Travel,334.87,Expense
2022-12-04,Rent Paid,Rent,923.52,Expense
2022-12-05,Internet Bill,Utilities,85.18,Expense
2022-12-05,Concert Ticket,Entertainment,96.88,Expense
2022-12-07,Household Supplies,Investment,86.87,Income
2022-12-12,Rent Paid,Rent,923.52,Expense
2022-12-13,Salary Received,Salary,1195.68,Income
2022-12-15,Rent Paid,Rent,923.52,Expense
2022-12-16,Water Bill,Utilities,150.57,Expense
2022-12-18,Rent Paid,Rent,923.52,Expense
2022-12-22,Other,Other,219.95,Income
2022-12-28,Internet Bill,Utilities,83.34,Expense
2022-12-30,Water Bill,Utilities,105.26,Expense
2022-12-31,Rent Paid,Rent,923.52,Expense
2023-01-03,Pet Supplies,Investment,213.57,Income
2023-01-04,Bowling Alley,Entertainment,35.26,Expense
2023-01-04,Other,Other,94.03,Expense
2023-01-06,Rent Paid,Rent,923.52,Expense
2023-01-09,Household Supplies,Investment,302.36,Income
2023-01-10,Online Retail Order,Shopping,222.14,Expense
2023-01-11,Other,Other,480.06,Income
2023-01-13,Car Rental,Travel,111.67,Expense
2023-01-15,Car Rental,Travel,353.32,Expense
2023-01-16,Bowling Alley,Entertainment,61.93,Expense
2023-01-17,Grocery Store,Food & Drink,21.67,Expense
2023-01-18,Concert Ticket,Entertainment,93.1,Expense
2023-01-19,Other,Other,446.43,Income
2023-01-19,Thai Restaurant,Food & Drink,19.51,Expense
2023-01-19,Phone Bill,Utilities,137.34,Expense
2023-01-19,Clothing Store,Shopping,80.5,Expense
2023-01-19,Salary Received,Salary,1195.68,Income
2023-01-20,Local Burger Joint,Food & Drink,9.45,Expense
2023-01-21,Household Supplies,Investment,272.41,Income
2023-01-21,Electronics Shop,Shopping,73.22,Expense
2023-01-22,Electronics Shop,Shopping,121.17,Expense
2023-01-23,Phone Bill,Utilities,128.57,Expense
2023-01-23,Streaming Subscription,Entertainment,37.16,Expense
2023-01-23,Other,Other,318.05,Income
2023-01-24,Rent Paid,Rent,923.52,Expense
2023-01-24,Movie Theater,Entertainment,29.87,Expense
2023-01-24,Other,Other,96.93,Income
2023-01-24,Thai Restaurant,Food & Drink,39.67,Expense
2023-01-24,Internet Bill,Utilities,65.82,Expense
2023-01-24,Coffee Shop,Food & Drink,16.7,Expense
2023-01-25,Train Ticket,Travel,251.04,Expense
2023-01-26,Other,Other,113.91,Expense
2023-01-27,Thai Restaurant,Food & Drink,35.14,Expense
2023-01-27,Rent Paid,Rent,923.52,Expense
2023-01-28,Rent Paid,Rent,923.52,Expense
2023-01-29,McDonald's,Food & Drink,14.74,Expense
2023-01-29,Office Supplies,Health & Fitness,30.49,Expense
2023-01-30,Rent Paid,Rent,923.52,Expense
2023-01-31,McDonald's,Food & Drink,9.43,Expense
2023-01-31,Office Supplies,Investment,291.29,Income
2023-02-01,Electric Bill,Utilities,53.2,Expense
2023-02-02,McDonald's,Food & Drink,20.92,Expense
2023-02-03,Target,Shopping,247.28,Expense
2023-02-06,Office Supplies,Health & Fitness,111.15,Expense
2023-02-07,Other,Other,7.72,Expense
2023-02-07,Coffee Shop,Food & Drink,24.68,Expense
2023-02-08,McDonald's,Food & Drink,13.23,Expense
2023-02-08,Other,Other,39.24,Expense
2023-02-09,Uber Ride,Travel,361.61,Expense
2023-02-12,Local Burger Joint,Food & Drink,22.94,Expense
2023-02-13,Airline Ticket,Travel,582.59,Expense
2023-02-15,Office Supplies,Health & Fitness,6.73,Expense
2023-02-16,Streaming Subscription,Entertainment,44.25,Expense
2023-02-18,Streaming Subscription,Entertainment,54.35,Expense
2023-02-20,Pizza Place,Food & Drink,30.56,Expense
2023-02-20,McDonald's,Food & Drink,31.22,Expense
2023-02-22,Other,Other,37.39,Expense
2023-02-22,Pet Supplies,Investment,293.07,Income
2023-02-24,Thai Restaurant,Food & Drink,24.31,Expense
2023-02-26,Other,Other,342.48,Income
2023-02-26,Household Supplies,Investment,437.06,Income
2023-02-26,Household Supplies,Health & Fitness,54.09,Expense
2023-02-28,Rent Paid,Rent,923.52,Expense
2023-03-03,Amazon Purchase,Shopping,99.02,Expense
2023-03-03,Electronics Shop,Shopping,201.85,Expense
2023-03-05,Other,Other,61.05,Expense
2023-03-05,Clothing Store,Shopping,185.31,Expense
2023-03-05,Pet Supplies,Health & Fitness,41.63,Expense
2023-03-07,Movie Theater,Entertainment,12.61,Expense
2023-03-08,Rent Paid,Rent,923.52,Expense
2023-03-08,Other,Other,64.59,Income
2023-03-08,Office Supplies,Health & Fitness,5.96,Expense
2023-03-08,Car Rental,Travel,513.48,Expense
2023-03-10,Rent Paid,Rent,923.52,Expense
2023-03-10,Pizza Place,Food & Drink,10.29,Expense
2023-03-12,Phone Bill,Utilities,124.34,Expense
2023-03-13,Office Supplies,Health & Fitness,72.93,Expense
2023-03-13,Other,Other,26.17,Income
2023-03-13,Internet Bill,Utilities,71.55,Expense
2023-03-15,Salary Received,Salary,1219.59,Income
2023-03-15,Rent Paid,Rent,923.52,Expense
2023-03-16,Electric Bill,Utilities,102.38,Expense
2023-03-16,Office Supplies,Investment,261.3,Income
2023-03-18,Other,Other,310.07,Income
2023-03-18,Rent Paid,Rent,923.52,Expense
2023-03-21,Rent Paid,Rent,923.52,Expense
2023-03-22,Other,Other,61.52,Expense
2023-03-23,Other,Other,308.66,Income
2023-03-23,Other,Other,290.73,Income
2023-03-23,Other,Other,107.4,Expense
2023-03-24,Electronics Shop,Shopping,216.4,Expense
2023-03-27,Pet Supplies,Investment,61.55,Income
2023-03-29,Salary Received,Salary,1219.59,Income
2023-03-30,Pet Supplies,Investment,161.38,Income
2023-03-31,Salary Received,Salary,1219.59,Income
2023-03-31,Phone Bill,Utilities,150.3,Expense
2023-04-01,Movie Theater,Entertainment,48.04,Expense
2023-04-01,Local Burger Joint,Food & Drink,21.98,Expense
2023-04-04,Household Supplies,Health & Fitness,86.26,Expense
2023-04-07,Pet Supplies,Health & Fitness,78.05,Expense
2023-04-08,Amazon Purchase,Shopping,189.71,Expense
2023-04-09,Office Supplies,Investment,279.84,Income
2023-04-10,Airline Ticket,Travel,177.84,Expense
2023-04-10,Household Supplies,Health & Fitness,94.37,Expense
2023-04-13,Electric Bill,Utilities,161.28,Expense
2023-04-15,Train Ticket,Travel,195.24,Expense
2023-04-16,McDonald's,Food & Drink,22.42,Expense
2023-04-20,Electronics Shop,Shopping,39.58,Expense
2023-04-20,Water Bill,Utilities,55.64,Expense
2023-04-21,Household Supplies,Health & Fitness,21.63,Expense
2023-04-22,Other,Other,460.83,Income
2023-04-22,Arcade,Entertainment,79.29,Expense
2023-04-23,Salary Received,Salary,1219.59,Income
2023-04-24,Household Supplies,Investment,82.01,Income
2023-04-25,Office Supplies,Investment,189.86,Income
2023-05-02,Pizza Place,Food & Drink,36.27,Expense
2023-05-02,Internet Bill,Utilities,179.95,Expense
2023-05-03,Other,Other,26.65,Expense
2023-05-05,Household Supplies,Investment,202.57,Income
2023-05-05,Household Supplies,Health & Fitness,7.78,Expense
2023-05-05,Clothing Store,Shopping,134.37,Expense
2023-05-07,Pet Supplies,Health & Fitness,61.11,Expense
2023-05-12,Other,Other,472.22,Income
2023-05-14,Electric Bill,Utilities,40.49,Expense
2023-05-14,Pet Supplies,Health & Fitness,104.9,Expense
2023-05-14,Phone Bill,Utilities,60.47,Expense
2023-05-15,Uber Ride,Travel,383.66,Expense
2023-05-15,Online Retail Order,Shopping,76.69,Expense
