date,description,category,amount,type
2023-05-16,Local Burger Joint,Food & Drink,19.5,Expense
2023-05-17,Movie Theater,Entertainment,61.69,Expense
2023-05-18,Other,Other,398.11,Income
2023-05-19,Rent Paid,Rent,923.52,Expense
2023-05-20,Internet Bill,Utilities,122.27,Expense
2023-05-20,Household Supplies,Health & Fitness,64.74,Expense
2023-05-20,Streaming Subscription,Entertainment,50.09,Expense
2023-05-22,Rent Paid,Rent,923.52,Expense
2023-05-22,Other,Other,326.73,Income
2023-05-22,Online Retail Order,Shopping,24.51,Expense
2023-05-25,Electronics Shop,Shopping,44.75,Expense
2023-05-28,Arcade,Entertainment,78.64,Expense
2023-05-29,Household Supplies,Investment,340.77,Income
2023-05-29,Other,Other,80.85,Expense
2023-05-30,Pet Supplies,Investment,139.9,Income
2023-06-02,Household Supplies,Investment,411.02,Income
2023-06-03,Rent Paid,Rent,923.52,Expense
2023-06-04,Salary Received,Salary,1219.59,Income
2023-06-05,Water Bill,Utilities,146.37,Expense
2023-06-08,Thai Restaurant,Food & Drink,31.31,Expense
2023-06-08,Streaming Subscription,Entertainment,116.91,Expense
2023-06-09,Car Rental,Travel,551.19,Expense
2023-06-09,Rent Paid,Rent,923.52,Expense
2023-06-10,Salary Received,Salary,1219.59,Income
2023-06-10,Amazon Purchase,Shopping,166.36,Expense
2023-06-13,Salary Received,Salary,1219.59,Income
2023-06-15,Pet Supplies,Investment,412.47,Income
2023-06-16,Salary Received,Salary,1219.59,Income
2023-06-16,Electronics Shop,Shopping,144.17,Expense
2023-06-17,Airline Ticket,Travel,465.22,Expense
2023-06-17,Water Bill,Utilities,65.22,Expense
2023-06-19,Internet Bill,Utilities,111.82,Expense
2023-06-21,Salary Received,Salary,1219.59,Income
2023-06-22,Grocery Store,Food & Drink,21.93,Expense
2023-06-22,Rent Paid,Rent,923.52,Expense
2023-06-23,Electronics Shop,Shopping,128.89,Expense
2023-06-25,Thai Restaurant,Food & Drink,23.18,Expense
2023-06-25,Target,Shopping,159.29,Expense
2023-06-25,Salary Received,Salary,1219.59,Income
2023-06-26,Hotel Stay,Travel,371.14,Expense
2023-06-30,Thai Restaurant,Food & Drink,38.34,Expense
2023-07-01,Water Bill,Utilities,70.74,Expense
2023-07-02,Phone Bill,Utilities,60.15,Expense
2023-07-05,Pet Supplies,Investment,136.87,Income
2023-07-05,Other,Other,282.11,Income
2023-07-06,Clothing Store,Shopping,80.92,Expense
2023-07-07,Phone Bill,Utilities,65.12,Expense
2023-07-07,Rent Paid,Rent,927.7,Expense
2023-07-10,Household Supplies,Health & Fitness,59.92,Expense
2023-07-10,Coffee Shop,Food & Drink,19.33,Expense
2023-07-10,Electronics Shop,Shopping,244.16,Expense
2023-07-10,Household Supplies,Investment,300.74,Income
2023-07-11,Rent Paid,Rent,927.7,Expense
2023-07-13,Household Supplies,Health & Fitness,71.39,Expense
2023-07-15,Salary Received,Salary,1219.59,Income
2023-07-15,Internet Bill,Utilities,79.9,Expense
2023-07-15,Other,Other,460.29,Income
2023-07-15,Office Supplies,Health & Fitness,107.03,Expense
2023-07-15,Other,Other,131.97,Income
2023-07-16,Grocery Store,Food & Drink,9.07,Expense
2023-07-17,Car Rental,Travel,446.62,Expense
2023-07-18,Rent Paid,Rent,927.7,Expense
2023-07-19,Car Rental,Travel,91.93,Expense
2023-07-19,Office Supplies,Health & Fitness,62.31,Expense
2023-07-20,Rent Paid,Rent,927.7,Expense
2023-07-21,Clothing Store,Shopping,65.85,Expense
2023-07-23,Office Supplies,Health & Fitness,68.69,Expense
2023-07-25,Electric Bill,Utilities,67.48,Expense
2023-07-26,Electronics Shop,Shopping,133.17,Expense
2023-07-27,Coffee Shop,Food & Drink,6.09,Expense
2023-07-27,Movie Theater,Entertainment,37.14,Expense
2023-07-30,Salary Received,Salary,1219.59,Income
2023-08-01,Streaming Subscription,Entertainment,90.89,Expense
2023-08-04,Clothing Store,Shopping,137.13,Expense
2023-08-05,Pet Supplies,Investment,325.51,Income
2023-08-07,Salary Received,Salary,1219.59,Income
2023-08-07,Household Supplies,Health & Fitness,65.4,Expense
2023-08-09,Train Ticket,Travel,172.58,Expense
2023-08-09,Hotel Stay,Travel,536.18,Expense
2023-08-10,Pet Supplies,Investment,28.75,Income
2023-08-10,Streaming Subscription,Entertainment,30.85,Expense
2023-08-11,Grocery Store,Food & Drink,19.32,Expense
2023-08-16,Coffee Shop,Food & Drink,5.34,Expense
2023-08-17,Household Supplies,Investment,477.57,Income
2023-08-17,Uber Ride,Travel,344.63,Expense
2023-08-21,Uber Ride,Travel,140.1,Expense
2023-08-22,Household Supplies,Health & Fitness,12.38,Expense
2023-08-23,Hotel Stay,Travel,333.53,Expense
2023-08-25,Electronics Shop,Shopping,176.08,Expense
2023-08-27,Other,Other,73.92,Expense
2023-08-30,Rent Paid,Rent,927.7,Expense
2023-08-30,Hotel Stay,Travel,392.1,Expense
2023-08-30,Hotel Stay,Travel,349.14,Expense
2023-08-30,Uber Ride,Travel,233.38,Expense
2023-09-01,Streaming Subscription,Entertainment,52.72,Expense
2023-09-01,Target,Shopping,217.66,Expense
2023-09-03,Pizza Place,Food & Drink,6.69,Expense
2023-09-04,Train Ticket,Travel,193.32,Expense
2023-09-04,Pizza Place,Food & Drink,15.05,Expense
2023-09-04,Movie Theater,Entertainment,117.95,Expense
2023-09-07,Salary Received,Salary,1219.59,Income
2023-09-10,Uber Ride,Travel,311.03,Expense
2023-09-11,Water Bill,Utilities,65.37,Expense
2023-09-11,Hotel Stay,Travel,511.82,Expense
2023-09-12,Phone Bill,Utilities,92.32,Expense
2023-09-12,Rent Paid,Rent,927.7,Expense
2023-09-13,Train Ticket,Travel,243.32,Expense
2023-09-14,Pet Supplies,Health & Fitness,43.77,Expense
2023-09-14,Rent Paid,Rent,927.7,Expense
2023-09-14,Rent Paid,Rent,927.7,Expense
2023-09-15,Office Supplies,Investment,234.38,Income
2023-09-15,Electronics Shop,Shopping,144.06,Expense
2023-09-16,Water Bill,Utilities,103.4,Expense
2023-09-16,Salary Received,Salary,1219.59,Income
2023-09-21,Water Bill,Utilities,93.38,Expense
2023-09-21,Electric Bill,Utilities,72.16,Expense
2023-09-23,Other,Other,98.64,Expense
2023-09-24,Phone Bill,Utilities,160.22,Expense
2023-09-28,Pet Supplies,Investment,290.1,Income
2023-09-29,Electronics Shop,Shopping,181.89,Expense
2023-10-03,Online Retail Order,Shopping,229.08,Expense
2023-10-04,Pet Supplies,Health & Fitness,23.45,Expense
2023-10-04,Movie Theater,Entertainment,24.01,Expense
2023-10-05,Household Supplies,Investment,303.86,Income
2023-10-06,Office Supplies,Health & Fitness,13.43,Expense
2023-10-08,Other,Other,20.5,Expense
2023-10-08,Household Supplies,Investment,43.95,Income
2023-10-08,Salary Received,Salary,1243.98,Income
2023-10-09,Household Supplies,Health & Fitness,7.95,Expense
2023-10-09,Electric Bill,Utilities,175.28,Expense
2023-10-11,Office Supplies,Health & Fitness,45.63,Expense
2023-10-13,Other,Other,315.44,Income
2023-10-14,Internet Bill,Utilities,118.31,Expense
2023-10-14,Household Supplies,Investment,330.66,Income
2023-10-15,Grocery Store,Food & Drink,37.98,Expense
2023-10-15,Grocery Store,Food & Drink,24.5,Expense
2023-10-16,Office Supplies,Investment,39.43,Income
2023-10-17,Office Supplies,Investment,221.85,Income
2023-10-17,Rent Paid,Rent,927.7,Expense
2023-10-27,Phone Bill,Utilities,173.75,Expense
2023-10-27,Coffee Shop,Food & Drink,25.48,Expense
2023-10-29,Train Ticket,Travel,387.74,Expense
2023-10-30,Online Retail Order,Shopping,165.73,Expense
2023-10-30,Household Supplies,Investment,206.24,Income
2023-11-04,Household Supplies,Investment,347.78,Income
2023-11-05,Office Supplies,Investment,107.62,Income
2023-11-08,Movie Theater,Entertainment,108.92,Expense
2023-11-08,Internet Bill,Utilities,135.59,Expense
2023-11-08,Concert Ticket,Entertainment,105.84,Expense
2023-11-09,Streaming Subscription,Entertainment,50.4,Expense
2023-11-09,Rent Paid,Rent,927.7,Expense
2023-11-11,Water Bill,Utilities,120.62,Expense
2023-11-11,Rent Paid,Rent,927.7,Expense
2023-11-13,Other,Other,51.33,Expense
2023-11-14,Train Ticket,Travel,370.5,Expense
2023-11-14,Pet Supplies,Investment,441.17,Income
2023-11-15,Office Supplies,Health & Fitness,34.93,Expense
2023-11-17,Rent Paid,Rent,927.7,Expense
2023-11-18,McDonald's,Food & Drink,38.9,Expense
2023-11-21,Pet Supplies,Investment,312.64,Income
2023-11-21,Salary Received,Salary,1243.98,Income
2023-11-22,Rent Paid,Rent,927.7,Expense
2023-11-23,Rent Paid,Rent,927.7,Expense
2023-11-23,Hotel Stay,Travel,596.07,Expense
2023-11-26,Salary Received,Salary,1243.98,Income
2023-11-26,Water Bill,Utilities,97.01,Expense
2023-11-26,Local Burger Joint,Food & Drink,27.47,Expense
2023-11-26,Rent Paid,Rent,927.7,Expense
2023-11-27,Salary Received,Salary,1243.98,Income
2023-11-27,Office Supplies,Health & Fitness,118.66,Expense
2023-11-28,Internet Bill,Utilities,128.1,Expense
2023-11-28,Electronics Shop,Shopping,169.54,Expense
2023-11-29,Other,Other,93.09,Expense
2023-12-05,Bowling Alley,Entertainment,96.7,Expense
2023-12-05,Pet Supplies,Health & Fitness,95.61,Expense
2023-12-06,Rent Paid,Rent,927.7,Expense
2023-12-08,Salary Received,Salary,1243.98,Income
2023-12-09,Target,Shopping,237.78,Expense
2023-12-09,Coffee Shop,Food & Drink,27.71,Expense
2023-12-10,Salary Received,Salary,1243.98,Income
2023-12-11,Rent Paid,Rent,927.7,Expense
2023-12-13,Office Supplies,Health & Fitness,33.87,Expense
2023-12-14,Household Supplies,Investment,58.26,Income
2023-12-14,Bowling Alley,Entertainment,115.85,Expense
2023-12-18,Salary Received,Salary,1243.98,Income
2023-12-20,Pet Supplies,Health & Fitness,99.68,Expense
2023-12-21,Thai Restaurant,Food & Drink,25.77,Expense
2023-12-22,Pizza Place,Food & Drink,36.5,Expense
2023-12-23,Airline Ticket,Travel,524.68,Expense
2023-12-25,Salary Received,Salary,1243.98,Income
2023-12-26,Thai Restaurant,Food & Drink,17.59,Expense
2023-12-27,Household Supplies,Health & Fitness,98.09,Expense
2023-12-29,Salary Received,Salary,1243.98,Income
2023-12-29,Salary Received,Salary,1243.98,Income
2023-12-29,Movie Theater,Entertainment,31.9,Expense
2024-01-02,Airline Ticket,Travel,590.63,Expense
2024-01-02,Rent Paid,Rent,927.7,Expense
2024-01-04,Pet Supplies,Investment,154.2,Income
2024-01-04,Office Supplies,Investment,286.57,Income
2024-01-07,Other,Other,12.79,Expense
2024-01-09,Bowling Alley,Entertainment,109.15,Expense
2024-01-09,Other,Other,311.27,Income
2024-01-10,Rent Paid,Rent,927.7,Expense
2024-01-11,Phone Bill,Utilities,117.6,Expense
2024-01-11,Household Supplies,Investment,45.6,Income
2024-01-11,Salary Received,Salary,1243.98,Income
2024-01-12,Water Bill,Utilities,112.56,Expense
2024-01-13,Pet Supplies,Investment,300.01,Income
2024-01-14,Household Supplies,Health & Fitness,90.84,Expense
2024-01-15,Arcade,Entertainment,102.04,Expense
2024-01-16,Hotel Stay,Travel,96.29,Expense
2024-01-16,Other,Other,431.4,Income
2024-01-16,Household Supplies,Health & Fitness,54.33,Expense
2024-01-17,Bowling Alley,Entertainment,10.42,Expense
2024-01-19,Airline Ticket,Travel,262.92,Expense
2024-01-19,Phone Bill,Utilities,160.18,Expense
2024-01-19,Electric Bill,Utilities,150.25,Expense
2024-01-19,Office Supplies,Health & Fitness,43.47,Expense
2024-01-20,Salary Received,Salary,1243.98,Income
2024-01-22,Clothing Store,Shopping,182.53,Expense
2024-01-23,Car Rental,Travel,433.27,Expense
2024-01-24,Local Burger Joint,Food & Drink,22.2,Expense
2024-01-25,Pet Supplies,Investment,464.56,Income
2024-01-26,Concert Ticket,Entertainment,72.98,Expense
2024-01-26,Uber Ride,Travel,123.48,Expense
2024-01-26,Pet Supplies,Investment,390.1,Income
2024-01-27,Thai Restaurant,Food & Drink,8.9,Expense
2024-01-28,Arcade,Entertainment,56.75,Expense
2024-01-30,Arcade,Entertainment,114.46,Expense
2024-02-01,Uber Ride,Travel,360.68,Expense
2024-02-06,Other,Other,321.61,Income
2024-02-07,Household Supplies,Health & Fitness,95.26,Expense
2024-02-07,Other,Other,41.95,Expense
2024-02-10,Salary Received,Salary,1243.98,Income
2024-02-10,Office Supplies,Health & Fitness,22.42,Expense
2024-02-10,Streaming Subscription,Entertainment,39.38,Expense
2024-02-14,Car Rental,Travel,578.62,Expense
2024-02-14,Rent Paid,Rent,927.7,Expense
2024-02-15,Household Supplies,Investment,449.17,Income
2024-02-16,Other,Other,334.78,Income
2024-02-17,Other,Other,182.31,Income
2024-02-19,Internet Bill,Utilities,48.9,Expense
2024-02-21,Grocery Store,Food & Drink,25.8,Expense
2024-02-21,Hotel Stay,Travel,28.0,Expense
2024-02-21,Household Supplies,Health & Fitness,108.77,Expense
2024-02-22,Bowling Alley,Entertainment,68.82,Expense
2024-02-23,Electric Bill,Utilities,115.23,Expense
2024-02-23,Rent Paid,Rent,927.7,Expense
2024-02-24,Household Supplies,Health & Fitness,49.68,Expense
2024-02-24,Salary Received,Salary,1243.98,Income
2024-02-25,McDonald's,Food & Drink,29.4,Expense
2024-02-27,Streaming Subscription,Entertainment,83.39,Expense
2024-02-27,Arcade,Entertainment,76.18,Expense
2024-02-27,Household Supplies,Health & Fitness,58.07,Expense
2024-02-28,Rent Paid,Rent,927.7,Expense
2024-02-29,Uber Ride,Travel,129.91,Expense
2024-03-02,Office Supplies,Health & Fitness,71.64,Expense
2024-03-03,Salary Received,Salary,1243.98,Income
2024-03-05,Bowling Alley,Entertainment,113.3,Expense
2024-03-05,Pet Supplies,Investment,241.03,Income
2024-03-06,McDonald's,Food & Drink,7.01,Expense
2024-03-06,Movie Theater,Entertainment,19.38,Expense
2024-03-06,Rent Paid,Rent,927.7,Expense
2024-03-07,Online Retail Order,Shopping,61.87,Expense
2024-03-07,Internet Bill,Utilities,128.22,Expense
2024-03-08,Coffee Shop,Food & Drink,14.54,Expense
2024-03-11,Other,Other,340.92,Income
2024-03-13,Arcade,Entertainment,114.48,Expense
2024-03-15,Salary Received,Salary,1243.98,Income
2024-03-16,Grocery Store,Food & Drink,19.57,Expense
2024-03-18,Pet Supplies,Investment,291.44,Income
2024-03-26,Pizza Place,Food & Drink,22.4,Expense
2024-03-27,Household Supplies,Investment,234.15,Income
2024-03-28,Hotel Stay,Travel,597.69,Expense
2024-03-29,Salary Received,Salary,1243.98,Income
2024-03-30,Thai Restaurant,Food & Drink,8.22,Expense
2024-03-30,Internet Bill,Utilities,175.26,Expense
2024-04-03,Uber Ride,Travel,166.99,Expense
2024-04-04,Other,Other,19.76,Expense
2024-04-06,Phone Bill,Utilities,151.73,Expense
2024-04-07,Other,Other,154.4,Income
2024-04-08,Rent Paid,Rent,927.7,Expense
2024-04-09,Pet Supplies,Health & Fitness,31.56,Expense
2024-04-09,Internet Bill,Utilities,94.8,Expense
2024-04-10,Hotel Stay,Travel,433.26,Expense
2024-04-10,Pet Supplies,Investment,229.43,Income
2024-04-11,Rent Paid,Rent,927.7,Expense
2024-04-13,Pet Supplies,Investment,186.78,Income
2024-04-16,Salary Received,Salary,1268.86,Income
2024-04-17,Arcade,Entertainment,33.04,Expense
2024-04-17,Arcade,Entertainment,113.44,Expense
2024-04-17,Car Rental,Travel,564.65,Expense
2024-04-18,Other,Other,8.76,Expense
2024-04-20,Water Bill,Utilities,176.64,Expense
2024-04-21,Streaming Subscription,Entertainment,117.6,Expense
2024-04-22,Train Ticket,Travel,543.7,Expense
2024-04-23,Other,Other,14.65,Expense
2024-04-25,Office Supplies,Health & Fitness,69.48,Expense
2024-04-26,Rent Paid,Rent,927.7,Expense
2024-04-26,Train Ticket,Travel,199.33,Expense
2024-04-30,Household Supplies,Investment,160.46,Income
2024-05-02,Rent Paid,Rent,927.7,Expense
2024-05-03,Grocery Store,Food & Drink,16.12,Expense
2024-05-04,Bowling Alley,Entertainment,94.3,Expense
2024-05-04,Salary Received,Salary,1268.86,Income
2024-05-05,Other,Other,68.8,Expense
2024-05-05,Airline Ticket,Travel,565.07,Expense
2024-05-14,Rent Paid,Rent,927.7,Expense
2024-05-15,Concert Ticket,Entertainment,72.7,Expense
2024-05-17,Water Bill,Utilities,139.86,Expense
2024-05-20,Pet Supplies,Investment,449.61,Income
2024-05-22,Phone Bill,Utilities,114.28,Expense
2024-05-23,Office Supplies,Health & Fitness,81.16,Expense
2024-05-25,Streaming Subscription,Entertainment,105.04,Expense
2024-05-26,Pizza Place,Food & Drink,16.07,Expense
2024-05-27,Household Supplies,Health & Fitness,26.63,Expense
2024-05-27,Local Burger Joint,Food & Drink,24.5,Expense
2024-05-31,Rent Paid,Rent,927.7,Expense
2024-06-01,Uber Ride,Travel,494.17,Expense
2024-06-02,Internet Bill,Utilities,160.16,Expense
2024-06-02,Rent Paid,Rent,927.7,Expense
2024-06-03,Concert Ticket,Entertainment,15.52,Expense
2024-06-04,Household Supplies,Health & Fitness,96.15,Expense
2024-06-06,Local Burger Joint,Food & Drink,14.63,Expense
2024-06-07,Household Supplies,Investment,162.48,Income
2024-06-09,Other,Other,131.22,Income
2024-06-10,Household Supplies,Investment,199.24,Income
2024-06-12,Rent Paid,Rent,927.7,Expense
2024-06-13,Household Supplies,Health & Fitness,60.76,Expense
2024-06-13,Salary Received,Salary,1268.86,Income
2024-06-14,Target,Shopping,231.88,Expense
2024-06-15,Pet Supplies,Investment,381.08,Income
2024-06-16,McDonald's,Food & Drink,8.43,Expense
2024-06-17,Household Supplies,Investment,178.74,Income
2024-06-21,Online Retail Order,Shopping,244.81,Expense
2024-06-21,Grocery Store,Food & Drink,37.02,Expense
2024-06-22,Airline Ticket,Travel,550.04,Expense
2024-06-23,Salary Received,Salary,1268.86,Income
2024-06-23,Other,Other,64.35,Expense
2024-06-23,Water Bill,Utilities,157.37,Expense
2024-06-23,Water Bill,Utilities,144.9,Expense
2024-06-23,Salary Received,Salary,1268.86,Income
2024-07-01,Other,Other,80.85,Expense
2024-07-05,Office Supplies,Investment,272.93,Income
2024-07-06,Electronics Shop,Shopping,151.84,Expense
2024-07-07,Electric Bill,Utilities,107.24,Expense
2024-07-07,Pizza Place,Food & Drink,22.71,Expense
2024-07-07,Rent Paid,Rent,923.99,Expense
2024-07-07,Grocery Store,Food & Drink,10.64,Expense
2024-07-13,Target,Shopping,72.16,Expense
2024-07-13,Coffee Shop,Food & Drink,13.2,Expense
2024-07-16,Salary Received,Salary,1268.86,Income
2024-07-20,Rent Paid,Rent,923.99,Expense
2024-07-21,Streaming Subscription,Entertainment,47.5,Expense
2024-07-22,Other,Other,106.34,Expense
2024-07-23,Household Supplies,Investment,232.79,Income
2024-07-23,Office Supplies,Investment,98.74,Income
2024-07-25,Pet Supplies,Health & Fitness,54.77,Expense
2024-07-26,Other,Other,190.43,Income
2024-07-26,Clothing Store,Shopping,73.84,Expense
2024-07-26,Amazon Purchase,Shopping,242.79,Expense
2024-07-26,Salary Received,Salary,1268.86,Income
2024-07-27,Salary Received,Salary,1268.86,Income
2024-07-27,Pet Supplies,Health & Fitness,63.17,Expense
2024-07-27,Internet Bill,Utilities,123.66,Expense
2024-07-28,Bowling Alley,Entertainment,115.71,Expense
2024-07-28,Internet Bill,Utilities,136.35,Expense
2024-07-29,Household Supplies,Health & Fitness,63.9,Expense
2024-07-29,McDonald's,Food & Drink,17.77,Expense
2024-07-29,Grocery Store,Food & Drink,32.11,Expense
2024-07-30,Salary Received,Salary,1268.86,Income
2024-07-30,Rent Paid,Rent,923.99,Expense
2024-08-01,Local Burger Joint,Food & Drink,19.31,Expense
2024-08-02,Amazon Purchase,Shopping,192.89,Expense
2024-08-02,Grocery Store,Food & Drink,12.02,Expense
2024-08-03,Salary Received,Salary,1268.86,Income
2024-08-03,Airline Ticket,Travel,33.75,Expense
2024-08-08,Bowling Alley,Entertainment,44.64,Expense
2024-08-09,Household Supplies,Health & Fitness,87.66,Expense
2024-08-11,Office Supplies,Investment,118.18,Income
2024-08-14,Target,Shopping,206.15,Expense
2024-08-14,Arcade,Entertainment,76.26,Expense
2024-08-14,Rent Paid,Rent,923.99,Expense
2024-08-15,Pet Supplies,Health & Fitness,59.33,Expense
2024-08-22,Concert Ticket,Entertainment,110.71,Expense
2024-08-23,Other,Other,172.97,Income
2024-08-25,Amazon Purchase,Shopping,144.12,Expense
2024-08-25,Uber Ride,Travel,341.09,Expense
2024-08-25,Other,Other,170.56,Income
2024-08-27,Hotel Stay,Travel,42.01,Expense
2024-08-27,Salary Received,Salary,1268.86,Income
2024-08-28,Salary Received,Salary,1268.86,Income
2024-08-28,Grocery Store,Food & Drink,26.82,Expense
2024-08-28,Clothing Store,Shopping,197.43,Expense
2024-08-30,Arcade,Entertainment,74.18,Expense
2024-09-01,Office Supplies,Health & Fitness,97.74,Expense
2024-09-02,Other,Other,76.57,Income
2024-09-05,Electronics Shop,Shopping,153.34,Expense
2024-09-05,Rent Paid,Rent,923.99,Expense
2024-09-05,Other,Other,338.33,Income
2024-09-05,Uber Ride,Travel,426.71,Expense
2024-09-06,Bowling Alley,Entertainment,41.0,Expense
2024-09-07,Household Supplies,Investment,291.27,Income
2024-09-08,Concert Ticket,Entertainment,90.61,Expense
2024-09-10,Pet Supplies,Health & Fitness,68.04,Expense
2024-09-13,Office Supplies,Investment,407.26,Income
2024-09-15,McDonald's,Food & Drink,11.16,Expense
2024-09-16,Household Supplies,Health & Fitness,52.73,Expense
2024-09-17,Airline Ticket,Travel,519.42,Expense
2024-09-17,Airline Ticket,Travel,138.19,Expense
2024-09-17,Water Bill,Utilities,82.47,Expense
2024-09-18,Salary Received,Salary,1268.86,Income
2024-09-21,Other,Other,413.43,Income
2024-09-22,Phone Bill,Utilities,173.88,Expense
2024-09-23,Other,Other,247.04,Income
2024-09-24,Local Burger Joint,Food & Drink,22.39,Expense
2024-09-25,Rent Paid,Rent,923.99,Expense
2024-09-26,Uber Ride,Travel,172.62,Expense
2024-09-26,Airline Ticket,Travel,23.18,Expense
2024-09-27,Pet Supplies,Health & Fitness,63.33,Expense
2024-09-27,Amazon Purchase,Shopping,218.94,Expense
2024-10-01,Amazon Purchase,Shopping,75.08,Expense
2024-10-01,Pet Supplies,Investment,42.82,Income
2024-10-02,Hotel Stay,Travel,21.81,Expense
2024-10-02,Amazon Purchase,Shopping,145.39,Expense
2024-10-03,Electric Bill,Utilities,55.48,Expense
2024-10-04,Other,Other,69.2,Expense
2024-10-04,Other,Other,480.07,Income
2024-10-07,Thai Restaurant,Food & Drink,39.21,Expense
2024-10-08,Grocery Store,Food & Drink,27.56,Expense
2024-10-09,Rent Paid,Rent,923.99,Expense
2024-10-10,Office Supplies,Health & Fitness,61.62,Expense
2024-10-10,Car Rental,Travel,274.29,Expense
2024-10-11,Office Supplies,Health & Fitness,16.45,Expense
2024-10-12,Bowling Alley,Entertainment,89.26,Expense
2024-10-15,Internet Bill,Utilities,175.31,Expense
2024-10-17,Office Supplies,Health & Fitness,69.08,Expense
2024-10-17,Salary Received,Salary,1294.24,Income
2024-10-18,Airline Ticket,Travel,348.72,Expense
2024-10-19,Electric Bill,Utilities,68.01,Expense
2024-10-19,Electronics Shop,Shopping,62.38,Expense
2024-10-21,Rent Paid,Rent,923.99,Expense
2024-10-21,Household Supplies,Health & Fitness,7.27,Expense
2024-10-21,Train Ticket,Travel,431.09,Expense
2024-10-23,Salary Received,Salary,1294.24,Income
2024-10-24,Salary Received,Salary,1294.24,Income
2024-10-28,Office Supplies,Investment,310.58,Income
2024-11-01,Hotel Stay,Travel,71.27,Expense
2024-11-02,Rent Paid,Rent,923.99,Expense
2024-11-03,Rent Paid,Rent,923.99,Expense
2024-11-03,Grocery Store,Food & Drink,8.24,Expense
2024-11-11,Rent Paid,Rent,923.99,Expense
2024-11-11,Rent Paid,Rent,923.99,Expense
2024-11-12,Car Rental,Travel,215.83,Expense
2024-11-13,Salary Received,Salary,1294.24,Income
2024-11-13,Pet Supplies,Investment,409.33,Income
2024-11-13,Other,Other,85.38,Expense
2024-11-13,Salary Received,Salary,1294.24,Income
2024-11-14,Uber Ride,Travel,395.92,Expense
2024-11-14,Household Supplies,Investment,219.64,Income
2024-11-16,Online Retail Order,Shopping,41.61,Expense
2024-11-17,Airline Ticket,Travel,243.19,Expense
2024-11-17,Streaming Subscription,Entertainment,108.82,Expense
2024-11-17,Pet Supplies,Health & Fitness,100.26,Expense
2024-11-17,Office Supplies,Investment,121.19,Income
2024-11-18,Phone Bill,Utilities,54.28,Expense
2024-11-18,Local Burger Joint,Food & Drink,34.71,Expense
2024-11-19,Salary Received,Salary,1294.24,Income
2024-11-20,Train Ticket,Travel,311.46,Expense
2024-11-20,Pet Supplies,Health & Fitness,14.47,Expense
2024-11-22,Target,Shopping,221.38,Expense
2024-11-23,Other,Other,90.68,Expense
2024-11-24,Rent Paid,Rent,923.99,Expense
2024-11-24,Hotel Stay,Travel,335.29,Expense
2024-11-24,Hotel Stay,Travel,563.01,Expense
2024-11-25,Electric Bill,Utilities,45.22,Expense
2024-11-25,Other,Other,446.96,Income
2024-11-25,Salary Received,Salary,1294.24,Income
2024-11-26,Pet Supplies,Investment,179.51,Income
2024-11-29,Household Supplies,Investment,106.28,Income
2024-11-30,Salary Received,Salary,1294.24,Income
2024-12-02,Internet Bill,Utilities,117.05,Expense
2024-12-05,Clothing Store,Shopping,89.0,Expense
2024-12-06,Office Supplies,Health & Fitness,58.62,Expense
2024-12-09,Household Supplies,Health & Fitness,18.69,Expense
2024-12-11,Internet Bill,Utilities,175.43,Expense
2024-12-12,Rent Paid,Rent,923.99,Expense
2024-12-12,Other,Other,29.82,Expense
2024-12-15,Rent Paid,Rent,923.99,Expense
2024-12-16,Electronics Shop,Shopping,136.54,Expense
2024-12-19,Coffee Shop,Food & Drink,16.53,Expense
2024-12-19,Rent Paid,Rent,923.99,Expense
2024-12-21,Salary Received,Salary,1294.24,Income
2024-12-23,Office Supplies,Health & Fitness,63.3,Expense
2024-12-28,Rent Paid,Rent,923.99,Expense
2024-12-28,Concert Ticket,Entertainment,84.52,Expense
2024-12-28,Household Supplies,Investment,277.58,Income
2024-12-29,Target,Shopping,134.41,Expense
2024-12-29,Other,Other,332.08,Income
